PROVINSI,IPM,TPT,RLS,PDRB,PENGKAP,TPAK,STATUS_KEMISKINAN
ACEH,74.03,5.75,9.64,43782,10811,65.15,1
SUMATERA UTARA,74.02,5.6,9.93,73575,11460,71.395,0
SUMATERA BARAT,74.49,5.75,9.44,57047,11718,70.25,0
RIAU,74.79,3.7,9.43,165350,11857,65.925,0
JAMBI,73.43,4.48,8.9,86722,11621,68.605,0
SUMATERA SELATAN,72.3,3.86,8.57,75132,12015,70.57000000000001,1
BENGKULU,73.39,3.11,9.04,49233,11733,71.42,1
LAMPUNG,71.81,4.19,8.36,51370,11258,70.095,1
KEP. BANGKA BELITUNG,73.33,4.63,8.33,70194,13667,68.385,0
KEP. RIAU,77.97,6.39,10.5,161424,15573,68.94,0
DKI JAKARTA,83.08,6.21,11.49,344350,19953,65.095,0
JAWA BARAT,74.43,6.75,8.87,56080,12157,67.55000000000001,0
JAWA TENGAH,73.88,4.78,8.02,47972,12276,73.74,1
DI YOGYAKARTA,81.55,3.48,9.92,51473,15361,74.93,1
JAWA TIMUR,74.09,4.19,8.28,75770,12852,73.58,1
BANTEN,74.48,6.68,9.23,70276,13097,65.925,0
BALI,77.76,1.79,9.54,67319,14920,77.13,0
NUSA TENGGARA BARAT,70.93,2.73,7.87,32282,11606,77.255,1
NUSA TENGGARA TIMUR,67.39,3.02,8.02,24272,8534,77.55000000000001,1
KALIMANTAN BARAT,70.13,4.86,7.78,52703,10321,70.0,0
KALIMANTAN TENGAH,72.73,4.01,8.81,79320,12303,68.05,0
KALIMANTAN SELATAN,73.03,4.2,8.62,67117,13399,70.115,0
KALIMANTAN TIMUR,78.83,5.14,10.02,212175,13793,66.41,0
KALIMANTAN UTARA,73.02,3.9,9.35,198429,10197,69.325,0
SULAWESI UTARA,75.03,5.85,9.84,69352,11998,65.75,0
SULAWESI TENGAH,71.56,2.94,9.04,120750,10536,70.705,1
SULAWESI SELATAN,74.05,4.19,8.86,73573,10235,67.6,0
SULAWESI TENGGARA,73.48,3.09,9.42,67840,10606,72.66499999999999,1
GORONTALO,71.23,3.13,8.29,44433,11539,69.865,1
SULAWESI BARAT,68.2,2.68,8.15,42718,10208,71.205,1
MALUKU,71.57,6.11,10.26,32198,9684,66.435,1
MALUKU UTARA,71.03,4.03,9.37,70660,9320,68.69,0
PAPUA BARAT,67.02,4.13,7.86,131636,8805,70.61,1
PAPUA BARAT DAYA,68.63,6.48,8.39,59064,8733,67.18,1
PAPUA,73.0,6.48,9.82,81009,11037,67.73,1
PAPUA SELATAN,67.9,4.05,8.38,61583,9756,71.045,1
PAPUA TENGAH,59.75,2.75,6.12,118774,7809,72.175,1
PAPUA PEGUNUNGAN,53.42,1.32,4.21,18105,5707,88.03999999999999,1
